DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-03-06 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1619.08	2022-03-06 05:16:12
2022-03-06 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1555.0	2022-03-06 04:16:05
2022-03-06 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1492.95	2022-03-06 04:16:05
2022-03-05 23:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1455.37	2022-03-06 02:16:13
2022-03-05 22:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1530.61	2022-03-06 01:16:18
2022-03-05 21:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1657.64	2022-03-06 00:16:15
2022-03-05 20:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1753.75	2022-03-05 23:16:09
2022-03-05 18:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1957.01	2022-03-05 20:16:12
2022-03-05 17:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2001.3	2022-03-05 20:16:12
2022-03-05 16:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2050.97	2022-03-05 19:16:06
2022-03-05 15:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2010.49	2022-03-05 19:16:06
2022-03-05 14:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2010.45	2022-03-05 19:16:06
2022-03-05 13:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1958.35	2022-03-05 16:16:09
2022-03-05 12:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1991.72	2022-03-05 15:16:15
2022-03-05 11:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1932.93	2022-03-05 15:16:15
2022-03-05 10:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1927.92	2022-03-05 13:16:10
2022-03-05 09:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2041.99	2022-03-05 12:16:13
2022-03-05 08:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1973.56	2022-03-05 11:16:14
2022-03-05 07:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1958.65	2022-03-05 10:16:10
2022-03-05 06:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2007.07	2022-03-05 09:16:08
2022-03-05 05:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1920.79	2022-03-05 08:16:11
2022-03-05 04:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1814.85	2022-03-05 07:16:24
2022-03-05 03:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1633.72	2022-03-05 06:16:11
2022-03-05 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1632.59	2022-03-05 06:16:11
2022-03-05 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1509.58	2022-03-05 04:16:10
2022-03-05 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1500.1	2022-03-05 03:16:15
2022-03-05 01:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6284.0	2022-03-05 03:45:56
2022-03-05 00:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6407.7	2022-03-05 02:45:55
2022-03-01 04:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	7044.9	2022-03-03 10:16:05
2022-03-01 03:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6444.0	2022-03-03 10:16:05
2022-03-01 02:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6260.8	2022-03-03 10:16:05
2022-03-01 01:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6308.5	2022-03-03 10:16:05
2022-03-01 00:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6400.9	2022-03-03 10:16:05
2022-03-01 16:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8754.7	2022-03-03 10:16:05
2022-03-01 15:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8428.8	2022-03-03 10:16:05
2022-03-01 14:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8318.8	2022-03-03 10:16:05
2022-03-01 13:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8325.1	2022-03-03 10:16:05
2022-03-01 12:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8438.8	2022-03-03 10:16:05
2022-03-01 11:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8605.8	2022-03-03 10:16:05
2022-03-01 10:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8931.3	2022-03-03 10:16:05
2022-03-01 09:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9089.0	2022-03-03 10:16:05
2022-03-01 08:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9169.8	2022-03-03 10:16:05
2022-03-01 07:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	9223.7	2022-03-03 10:16:05
2022-03-01 06:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	8966.8	2022-03-03 10:16:05
